,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Barkly West,ZA,64.4,few clouds,-28.54,24.52,Stafford Parker Guest House
489,Dibrugarh,IN,57.2,mist,27.48,94.9,SHREE COTTAGE
490,Wagar,SD,61.21,scattered clouds,16.15,36.2,
491,Azul,AR,57.99,clear sky,-36.78,-59.86,Cabañas Dulcinea
497,Ulverstone,AU,62.01,scattered clouds,-41.15,146.17,Westella Colonial Bed & Breakfast
500,Fukue,JP,55.4,scattered clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
501,Luau,AO,67.62,overcast clouds,-10.71,22.22,Kimbo Hotel
502,Kabalo,CD,70.32,broken clouds,-6.05,26.92,
505,Santa Fe,AR,69.01,clear sky,-31.63,-60.7,Conquistador Hotel
509,Mwinilunga,ZM,62.78,broken clouds,-11.74,24.43,Kwakuwahi Lodge
514,Nishihara,JP,69.8,few clouds,26.18,127.76,Minshuku Agaihama
516,Hualmay,PE,73.9,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
523,Lahij,YE,71.56,scattered clouds,13.17,44.58,
526,Itoman,JP,69.8,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
532,Capao Da Canoa,BR,73.18,scattered clouds,-29.75,-50.01,Hotel Araçá
537,Luangwa,ZM,71.29,broken clouds,-15.62,30.42,Gerasimos Safari Lodge
539,Goure,NE,70.0,clear sky,13.98,10.27,
542,Discovery Bay,US,68.0,clear sky,37.91,-121.6,Orwood Resort Inc
543,Creel,MX,64.69,clear sky,27.75,-107.63,Best Western Plus The Lodge at Creel
