,City,Country,Date,Lat,Lng,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
46,Tirano,IT,2020-02-20 22:04:21,46.22,10.17,37.99,72,0,3.36,clear sky,0.0,0.0
47,Cortes,ES,2020-02-20 22:04:21,41.94,-1.44,50.0,70,2,9.17,clear sky,0.0,0.0
48,Chokurdakh,RU,2020-02-20 22:04:21,70.63,147.92,-14.17,96,93,3.56,overcast clouds,0.0,0.0
49,Olafsvik,IS,2020-02-20 22:04:22,64.89,-23.71,29.16,78,100,33.64,overcast clouds,0.0,0.0
50,Airai,TL,2020-02-20 22:01:48,-8.93,125.41,66.94,91,80,4.59,light rain,0.19,0.0
51,Castro,BR,2020-02-20 22:04:22,-24.79,-50.01,78.89,57,100,2.8,overcast clouds,0.0,0.0
52,Broken Hill,AU,2020-02-20 22:01:21,-31.95,141.43,59.0,58,65,12.75,broken clouds,0.0,0.0
53,Butler,US,2020-02-20 22:01:45,39.45,-84.57,32.0,53,1,12.75,clear sky,0.0,0.0
54,Nelson Bay,AU,2020-02-20 22:02:30,-32.72,152.15,75.0,56,75,9.17,broken clouds,0.0,0.0
55,San Patricio,MX,2020-02-20 22:04:23,19.22,-104.7,84.2,74,20,11.41,few clouds,0.0,0.0
56,Esperance,AU,2020-02-20 22:04:23,-33.87,121.9,55.4,87,0,8.05,clear sky,0.0,0.0
57,Khatanga,RU,2020-02-20 22:04:23,71.97,102.5,2.32,88,95,7.81,overcast clouds,0.0,0.0
58,Winder,US,2020-02-20 22:03:05,33.99,-83.72,41.0,93,90,5.82,moderate rain,0.0,0.0
59,Westport,US,2020-02-20 22:04:24,41.14,-73.36,37.0,34,1,8.05,clear sky,0.0,0.0
60,Ust-Ordynskiy,RU,2020-02-20 22:04:24,52.8,104.75,3.2,84,94,2.24,overcast clouds,0.0,0.0
61,Bluff,NZ,2020-02-20 22:04:24,-46.6,168.33,66.81,61,43,7.92,scattered clouds,0.0,0.0
62,Hilo,US,2020-02-20 22:00:45,19.73,-155.09,78.8,54,75,5.82,broken clouds,0.0,0.0
63,Bengkulu,ID,2020-02-20 22:01:04,-3.8,102.27,72.91,90,86,4.21,overcast clouds,0.0,0.0
64,Tuatapere,NZ,2020-02-20 22:04:25,-46.13,167.68,61.77,94,76,2.28,light rain,0.25,0.0
65,Koregaon,IN,2020-02-20 22:04:25,18.65,74.08,70.7,45,0,4.7,clear sky,0.0,0.0
66,Bethel,US,2020-02-20 22:04:25,41.37,-73.41,36.0,29,20,8.05,few clouds,0.0,0.0
67,Det Udom,TH,2020-02-20 22:04:25,14.91,105.08,68.0,77,9,4.7,clear sky,0.0,0.0
68,Ponta Do Sol,PT,2020-02-20 22:03:39,32.67,-17.1,57.2,71,40,8.05,scattered clouds,0.0,0.0
69,San Andres,CO,2020-02-20 22:04:26,12.58,-81.7,86.0,66,20,12.75,few clouds,0.0,0.0
70,Chaihe,CN,2020-02-20 22:04:26,44.77,129.7,12.13,90,100,1.95,overcast clouds,0.0,0.0
71,East London,ZA,2020-02-20 22:04:26,-33.02,27.91,75.92,78,70,14.72,light rain,0.31,0.0
72,Jamestown,US,2020-02-20 22:00:39,42.1,-79.24,23.0,61,90,10.29,light snow,0.0,0.0
73,Ribeira Grande,PT,2020-02-20 22:04:26,38.52,-28.7,57.2,62,40,6.93,scattered clouds,0.0,0.0
74,Wawa,NG,2020-02-20 22:04:26,9.9,4.42,84.4,24,0,7.72,clear sky,0.0,0.0
75,Poya,NC,2020-02-20 22:04:27,-21.35,165.15,78.44,76,0,5.7,clear sky,0.0,0.0
76,Hamilton,US,2020-02-20 22:04:27,39.18,-84.53,32.0,42,75,9.17,broken clouds,0.0,0.0
77,Pangnirtung,CA,2020-02-20 22:04:27,66.15,-65.71,-32.8,66,5,2.24,clear sky,0.0,0.0
78,Mar Del Plata,AR,2020-02-20 22:03:41,-38.0,-57.56,64.0,67,40,14.99,light rain,0.0,0.0
79,Bathsheba,BB,2020-02-20 22:04:27,13.22,-59.52,80.6,61,20,19.46,few clouds,0.0,0.0
80,Tucumcari,US,2020-02-20 22:03:43,35.17,-103.72,37.99,47,90,8.05,overcast clouds,0.0,0.0
81,Namibe,AO,2020-02-20 22:04:28,-15.2,12.15,75.43,75,99,17.38,overcast clouds,0.0,0.0
82,Salta,AR,2020-02-20 22:01:45,-24.79,-65.41,78.8,78,75,11.41,broken clouds,0.0,0.0
83,San-Pedro,CI,2020-02-20 22:04:28,4.75,-6.64,82.71,84,58,9.01,broken clouds,0.0,0.0
84,Kahului,US,2020-02-20 22:04:28,20.89,-156.47,78.8,44,20,23.04,few clouds,0.0,0.0
85,Jumla,NP,2020-02-20 22:04:29,29.27,82.18,31.64,60,60,4.76,broken clouds,0.0,0.0
86,Hermanus,ZA,2020-02-20 22:04:29,-34.42,19.23,64.99,94,0,1.99,clear sky,0.0,0.0
87,Guerrero Negro,MX,2020-02-20 22:04:29,27.98,-114.06,73.98,40,27,8.84,scattered clouds,0.0,0.0
88,Freeport,US,2020-02-20 22:04:30,40.66,-73.58,36.0,37,1,11.41,clear sky,0.0,0.0
89,Alofi,NU,2020-02-20 22:04:30,-19.06,-169.92,82.4,88,75,20.8,broken clouds,0.0,0.0
90,Pelym,RU,2020-02-20 22:04:30,61.01,62.0,23.41,93,98,5.23,overcast clouds,0.0,0.0
91,Ellisras,ZA,2020-02-20 22:04:30,-23.66,27.74,78.71,47,0,6.55,clear sky,0.0,0.0
92,Dikson,RU,2020-02-20 22:01:09,73.51,80.55,-2.0,94,3,14.27,clear sky,0.0,0.0
93,Bennington,US,2020-02-20 22:04:31,42.88,-73.2,27.0,49,75,8.05,broken clouds,0.0,0.0
94,Balashov,RU,2020-02-20 22:04:31,51.55,43.17,34.0,93,100,1.01,overcast clouds,0.0,0.0
95,Bilma,NE,2020-02-20 22:01:05,18.69,12.92,66.87,20,25,7.74,scattered clouds,0.0,0.0
96,Lavrentiya,RU,2020-02-20 22:01:12,65.58,-171.0,-14.51,88,0,8.5,clear sky,0.0,0.0
97,Kuzhithurai,IN,2020-02-20 22:04:32,8.32,77.18,78.8,88,20,3.36,haze,0.0,0.0
98,Grantham,GB,2020-02-20 22:04:32,52.91,-0.64,41.0,69,0,18.34,clear sky,0.0,0.0
99,Iranshahr,IR,2020-02-20 22:04:32,27.2,60.68,62.6,42,99,6.93,overcast clouds,0.0,0.0
100,San Carlos De Bariloche,AR,2020-02-20 22:02:14,-41.15,-71.31,73.4,8,0,12.75,clear sky,0.0,0.0
101,Saint-Philippe,RE,2020-02-20 22:04:33,-21.36,55.77,77.0,73,90,8.05,overcast clouds,0.0,0.0
102,Praia,CV,2020-02-20 22:04:33,14.92,-23.51,67.98,84,46,14.52,scattered clouds,0.0,0.0
103,Mabai,CN,2020-02-20 22:04:33,23.01,104.45,52.41,96,100,1.52,overcast clouds,0.0,0.0
104,Bambous Virieux,MU,2020-02-20 22:03:49,-20.34,57.76,78.8,69,40,10.29,scattered clouds,0.0,0.0
105,Mangrol,IN,2020-02-20 22:04:14,21.12,70.12,76.68,69,0,9.82,clear sky,0.0,0.0
106,Ancud,CL,2020-02-20 22:04:34,-41.87,-73.82,69.8,37,0,10.29,clear sky,0.0,0.0
107,Ponta Delgada,PT,2020-02-20 22:04:31,37.73,-25.67,53.6,66,40,8.05,scattered clouds,0.0,0.0
108,Thompson,CA,2020-02-20 22:01:19,55.74,-97.86,28.4,54,75,14.99,broken clouds,0.0,0.0
109,Saint-Joseph,RE,2020-02-20 22:01:00,-21.37,55.62,77.0,73,90,8.05,overcast clouds,0.0,0.0
110,Souillac,MU,2020-02-20 22:04:35,-20.52,57.52,78.8,69,40,10.29,scattered clouds,0.0,0.0
111,Kutum,SD,2020-02-20 22:04:35,14.2,24.67,61.21,29,0,6.87,clear sky,0.0,0.0
112,New Norfolk,AU,2020-02-20 22:04:35,-42.78,147.06,55.0,50,75,12.75,light intensity shower rain,0.0,0.0
113,Saskylakh,RU,2020-02-20 22:01:35,71.92,114.08,-18.9,99,90,3.42,overcast clouds,0.0,0.0
114,Naze,JP,2020-02-20 22:00:50,28.37,129.48,62.6,63,40,13.87,scattered clouds,0.0,0.0
115,College,US,2020-02-20 22:04:36,64.86,-147.8,32.0,73,90,9.17,overcast clouds,0.0,0.0
116,Luderitz,NA,2020-02-20 22:04:36,-26.65,15.16,71.6,73,0,17.22,clear sky,0.0,0.0
117,Avarua,CK,2020-02-20 22:03:50,-21.21,-159.78,82.4,88,100,6.93,light rain,1.63,0.0
118,Torbay,CA,2020-02-20 22:01:07,47.67,-52.73,18.0,61,75,31.09,broken clouds,0.0,0.0
119,Kintampo,GH,2020-02-20 22:03:04,8.06,-1.73,86.36,28,100,1.88,overcast clouds,0.0,0.0
