,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Portland,US,57.99,few clouds,45.52,-122.68,Portland Marriott City Center
350,Lena,ES,55.0,light intensity drizzle,43.1,-5.73,
353,Khorixas,,72.5,overcast clouds,-20.37,14.97,Khorixas Lodge
359,Sechura,PE,73.33,clear sky,-5.56,-80.82,Hospedaje Costa Bella
388,Knysna,ZA,64.4,broken clouds,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
391,Comodoro Rivadavia,AR,64.4,clear sky,-45.87,-67.5,Austral Hotel
394,Jalu,LY,57.02,broken clouds,29.03,21.55,Jalu Hotel
395,Rio Cuarto,AR,68.0,few clouds,-33.13,-64.35,Hotel Menossi
397,Cidreira,BR,74.39,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
399,Mubi,NG,72.41,scattered clouds,10.27,13.26,Hotel
404,Pisco,PE,73.99,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
415,Pacific Grove,US,72.0,clear sky,36.62,-121.92,Lovers Point Inn
422,Rawson,AR,57.87,clear sky,-43.3,-65.1,Hotel Punta León
425,Urucui,BR,73.83,overcast clouds,-7.23,-44.56,Formula Flat Uruçui
427,Lingsugur,IN,66.06,clear sky,16.17,76.52,Hanamantappa police house
438,Arlit,NE,70.83,clear sky,18.74,7.39,Hôtel Telwa Bungalow
442,Talcahuano,CL,69.8,clear sky,-36.72,-73.12,Hotel Terramar
449,Alice Springs,AU,68.0,few clouds,-23.7,133.88,Desert Palms Alice Springs
451,Otane,NZ,75.0,overcast clouds,-39.88,176.63,Ludlow Farmstay
454,Dubbo,AU,66.2,overcast clouds,-32.25,148.62,Comfort Inn Blue Lagoon
458,Lebu,CL,74.46,clear sky,-37.62,-73.65,Hostal Las Lilas
459,Lodja,CD,74.08,scattered clouds,-3.48,23.43,
465,Sainthia,IN,66.04,broken clouds,23.95,87.67,Jay Maa Tara Hotel
469,Bloemfontein,ZA,68.0,clear sky,-29.12,26.21,Protea Hotel by Marriott Bloemfontein
481,Padang,ID,69.78,broken clouds,-0.95,100.35,Mercure Padang
483,San Quintin,MX,67.1,overcast clouds,30.48,-115.95,Old Mill Hotel
486,Colac,AU,57.0,scattered clouds,-38.33,143.58,Otway Gate Motel
489,Sao Filipe,CV,70.88,few clouds,14.9,-24.5,Tortuga B&B
491,Urcos,PE,60.8,shower rain,-13.69,-71.62,Qali Samanawasi
495,Merauke,ID,74.8,overcast clouds,-8.47,140.33,
503,Atambua,ID,74.48,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
