City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,Gboko,7.32,9.0,77.76,16,0,6.38,NG,2020-02-14 23:01:49
360,Amarpur,25.03,86.9,58.98,87,13,4.72,IN,2020-02-14 23:01:49
361,La Asuncion,11.03,-63.86,75.2,94,86,16.11,VE,2020-02-14 23:01:49
362,Urucara,-2.54,-57.76,73.33,99,98,0.69,BR,2020-02-14 23:01:49
363,Gamba,-2.65,10.0,80.06,85,100,4.81,GA,2020-02-14 23:01:50
364,Bull Savanna,17.89,-77.59,68.32,87,30,2.95,JM,2020-02-14 23:01:50
365,Codrington,-38.27,141.97,61.81,88,100,23.53,AU,2020-02-14 23:01:50
366,Narsaq,60.92,-46.05,28.4,39,100,27.51,GL,2020-02-14 22:57:47
367,Maragogi,-9.01,-35.22,81.61,75,49,12.53,BR,2020-02-14 23:01:26
368,Weiser,44.25,-116.97,50.0,29,90,13.87,US,2020-02-14 23:01:51
369,Taltal,-25.4,-70.48,63.7,86,79,3.71,CL,2020-02-14 23:01:51
370,Duiwelskloof,-23.69,30.14,65.17,85,0,1.95,ZA,2020-02-14 23:01:51
371,Monrovia,6.3,-10.8,77.0,94,20,4.25,LR,2020-02-14 22:57:50
372,Polunochnoye,60.87,60.42,15.51,95,100,2.21,RU,2020-02-14 23:01:51
373,Khromtau,50.25,58.43,22.03,96,63,7.81,KZ,2020-02-14 23:01:52
374,Desna,50.93,30.76,39.2,86,90,4.47,UA,2020-02-14 23:01:52
375,Krasnovishersk,60.41,57.08,13.05,96,100,1.79,RU,2020-02-14 23:01:52
376,Bereda,43.27,-7.54,57.2,76,20,11.41,ES,2020-02-14 23:01:52
377,North Bend,43.41,-124.22,51.01,76,90,5.19,US,2020-02-14 23:01:53
378,Hasaki,35.73,140.83,44.6,100,75,1.12,JP,2020-02-14 23:01:53
379,Khuzhir,53.19,107.34,9.23,86,30,1.28,RU,2020-02-14 23:01:53
380,Vanavara,60.34,102.28,2.55,98,98,5.17,RU,2020-02-14 23:01:53
381,Clyde River,70.47,-68.59,-4.0,83,75,26.4,CA,2020-02-14 23:01:53
382,Aykhal,66.0,111.5,5.0,84,61,2.24,RU,2020-02-14 23:01:54
383,Praia Da Vitoria,38.73,-27.07,62.6,77,20,27.11,PT,2020-02-14 23:01:54
384,Meadow Lake,34.8,-106.54,57.0,35,1,3.36,US,2020-02-14 23:01:54
385,Moissala,8.34,17.77,73.09,21,0,3.13,TD,2020-02-14 23:01:54
386,Leshukonskoye,64.9,45.76,16.74,95,96,6.02,RU,2020-02-14 23:01:54
387,Sanquelim,15.58,74.0,75.2,83,0,3.36,IN,2020-02-14 23:01:55
388,Tandil,-37.32,-59.13,73.99,36,0,1.01,AR,2020-02-14 23:00:02
389,Almaty,43.25,76.95,28.4,92,90,4.47,KZ,2020-02-14 23:01:55
390,Port Hedland,-20.32,118.57,82.4,94,0,8.05,AU,2020-02-14 23:01:55
391,Kavieng,-2.57,150.8,84.02,74,100,12.21,PG,2020-02-14 23:01:55
392,Kalmunai,7.42,81.82,79.41,77,0,12.08,LK,2020-02-14 23:01:56
393,Mackenzie,55.3,-123.17,26.6,100,90,4.7,CA,2020-02-14 23:01:56
394,Champerico,14.3,-91.92,87.8,55,75,4.7,GT,2020-02-14 23:01:56
395,Taksimo,56.34,114.88,-0.36,86,56,3.0,RU,2020-02-14 23:01:56
396,Tabas,33.6,56.92,48.2,39,25,6.93,IR,2020-02-14 23:01:56
397,Semme,46.2,1.5,41.0,86,81,3.36,FR,2020-02-14 23:01:57
398,Barnova,47.07,27.62,41.0,65,94,6.93,RO,2020-02-14 23:01:57
399,Gushikawa,26.35,127.87,73.4,94,75,10.29,JP,2020-02-14 23:01:57
400,Hermiston,45.84,-119.29,55.0,34,1,20.8,US,2020-02-14 23:01:57
401,Airai,-8.93,125.41,76.05,74,100,1.3,TL,2020-02-14 23:01:58
402,Arlit,18.74,7.39,69.64,10,37,12.21,NE,2020-02-14 23:01:58
403,Kodinsk,58.69,99.18,4.32,97,32,4.16,RU,2020-02-14 23:01:58
404,Presidencia Roque Saenz Pena,-26.79,-60.44,77.2,93,79,7.36,AR,2020-02-14 23:01:58
405,Lumeje,-11.55,20.78,68.95,87,100,7.67,AO,2020-02-14 23:01:58
406,Marigot,18.07,-63.08,78.8,69,40,12.75,MF,2020-02-14 23:01:59
407,Virginia Beach,36.85,-75.98,42.8,56,75,8.05,US,2020-02-14 23:00:39
408,Keuruu,62.27,24.7,23.0,100,0,6.93,FI,2020-02-14 23:01:59
409,Namibe,-15.2,12.15,74.66,77,52,9.55,AO,2020-02-14 23:02:00
410,Raton,36.9,-104.44,57.2,60,1,10.29,US,2020-02-14 23:02:00
411,Sao Gabriel Da Cachoeira,-0.13,-67.09,75.51,95,62,0.72,BR,2020-02-14 23:00:13
412,Coquimbo,-29.95,-71.34,82.99,68,0,14.99,CL,2020-02-14 23:02:00
413,Aripuana,-9.17,-60.63,78.51,81,58,0.81,BR,2020-02-14 23:02:00
414,Noyabrsk,63.2,75.45,11.35,94,100,15.97,RU,2020-02-14 23:02:01
415,Roald,62.58,6.13,45.0,75,20,14.99,NO,2020-02-14 23:02:01
416,Hengshui,37.73,115.7,28.26,82,100,7.25,CN,2020-02-14 23:02:01
417,Sompeta,18.93,84.6,69.67,48,0,3.74,IN,2020-02-14 23:02:01
418,San Quintin,30.48,-115.95,61.02,68,58,12.71,MX,2020-02-14 23:02:01
419,Vung Tau,10.35,107.08,75.31,87,18,6.71,VN,2020-02-14 23:02:02
420,Thunder Bay,48.4,-89.32,16.0,61,40,17.22,CA,2020-02-14 22:59:10
421,Campoverde,-8.48,-74.81,35.6,100,75,8.05,PE,2020-02-14 23:02:02
422,Nelson Bay,-32.72,152.15,80.01,69,0,8.05,AU,2020-02-14 23:02:02
423,Cabo San Lucas,22.89,-109.91,73.0,49,20,9.17,MX,2020-02-14 23:02:02
424,Mayo,38.89,-76.51,34.0,43,90,14.99,US,2020-02-14 23:02:03
425,Nadvoitsy,63.87,34.32,23.31,87,95,6.24,RU,2020-02-14 23:02:03
426,Mao,39.89,4.27,55.4,87,75,1.12,ES,2020-02-14 23:02:03
427,Verkhnyaya Inta,65.98,60.31,8.76,95,99,5.23,RU,2020-02-14 23:02:03
428,Jaguarao,-32.57,-53.38,70.3,94,76,6.17,BR,2020-02-14 23:02:03
429,Charleston,32.78,-79.93,57.99,33,1,4.7,US,2020-02-14 23:00:43
